ID,forests,bec,cum,min,var,biomass,height,cover
2737,220,7,7159.13671875,0,487.8993835449219,10229,14693,9268
2738,220,7,5464.6083984375,0,739.85882568359375,2559,8505,4916
2739,220,7,3856.41943359375,0,1187.7586669921875,16925,26193,6528
2740,220,7,4516.37158203125,0,958.311767578125,26921,21334,9057
2741,220,7,4970.01806640625,0,937.85186767578125,22937,31453,7461
2742,220,7,6514.98388671875,0,704.49188232421875,59295,34973,9925
2743,220,7,4992.212890625,0,836.77783203125,11360,14144,9359
2744,220,7,7211.42333984375,79.66580963134766,406.6952209472656,11844,14253,9988
2745,220,7,8247.708984375,53.95565414428711,363.6458740234375,32591,23708,9412
2746,220,7,9417.365234375,552.26513671875,105.55571746826172,36686,29158,9872
2747,220,7,6197.7216796875,0,740.96142578125,7222,11643,9445
2748,220,7,4624.72900390625,0,943.83514404296875,22937,31453,7461
2749,220,8,7204.765625,115.14472198486328,498.86639404296875,6285,14459,8338
2750,220,8,5812.32080078125,0,762.587158203125,6902,12501,9128
2751,220,8,5215.35205078125,0,682.7890625,22937,31453,7461
2752,220,8,5020.67138671875,0,851.635986328125,16925,26193,6528
2753,220,8,5485.93701171875,0,758.41339111328125,7864,12182,7700
2754,220,8,6843.279296875,0,430.0065612792969,26921,21334,9057
2755,220,8,6650.0849609375,62.008480072021484,430.1388244628906,9741,14147,8414
2756,220,8,6352.43994140625,0,573.25653076171875,5320,13572,5803
2757,220,8,6001.84228515625,0,588.48956298828125,7206,11790,9891
2758,220,8,7421.2919921875,0,425.4050598144531,16849,17314,9048
2759,220,8,7829.466796875,179.56680297851563,314.80401611328125,40017,27371,9849
2760,220,8,8069.21630859375,5.275999546051025,456.2274475097656,2288,7292,6187
2761,220,8,4545.16650390625,0,778.98541259765625,3539,9315,6116
2762,220,8,5231.3935546875,0,667.3482666015625,2220,9402,1686
2763,220,8,9408.2578125,97.29168701171875,310.24249267578125,59295,34973,9925
2764,220,8,6807.42919921875,0,524.42474365234375,7366,13048,7395
2765,220,8,8215.8837890625,208.58255004882813,275.44903564453125,22937,31453,7461
2766,220,8,8156.2998046875,389.30126953125,195.26559448242188,9572,16650,6857
2767,220,8,7076.33447265625,75.846435546875,448.08868408203125,6902,12501,9128
2768,220,8,7860.41845703125,175.4636993408203,333.0185852050781,16408,25919,4990
2769,220,8,5231.0693359375,0,840.7667236328125,22937,31453,7461
2770,220,8,5099.5712890625,0,863.6595458984375,3210,9818,4864
2771,220,8,6649.439453125,0,583.23712158203125,12053,16618,6110
2772,220,8,8171.4482421875,0,320.5971984863281,20677,24622,9213
2773,220,8,5904.3291015625,0,697.16888427734375,12755,18232,7750
2774,220,8,7167.94091796875,0,567.71331787109375,7222,11643,9445
2775,220,8,5976.9404296875,0,722.2042236328125,22937,31453,7461
2776,220,8,8774.056640625,88.90699005126953,287.0653381347656,35678,27197,9558
2777,220,8,7273.13916015625,0,588.0400390625,16408,25919,4990
2778,220,8,7397.15673828125,0,514.6629638671875,5709,34733,9959
2779,220,8,6912.02490234375,0,530.70599365234375,9700,13262,9243
2780,220,8,7926.9775390625,130.67520141601563,380.0953674316406,48037,26247,9921
2781,220,8,8656.376953125,85.944000244140625,292.9539794921875,40017,27371,9849
2782,220,8,7522.65771484375,0,423.9493408203125,26949,23096,9518
2783,220,8,8374.3759765625,181.11424255371094,320.0207214355469,9700,13262,9243
2784,220,8,5955.34521484375,0,675.70745849609375,7366,13048,7395
2785,220,8,4701.57470703125,0,971.19281005859375,22937,31453,7461
2786,220,8,6399.18603515625,0,582.3023681640625,22937,31453,7461
2787,220,8,6447.16748046875,0,597.40093994140625,32083,22986,9318
2788,220,8,7721.83203125,217.97775268554688,309.6114807128906,5276,9802,9117
2789,220,8,7377.146484375,93.97657012939453,360.8064270019531,4578,11750,4178
2790,220,8,6508.818359375,112.77598571777344,450.7467041015625,20376,24078,6833
2791,220,8,4415.68505859375,0,823.9383544921875,2885,9390,4393
2792,220,8,6014.3388671875,0,629.5128173828125,20165,22665,7750
2793,220,8,6971.0361328125,0,538.7574462890625,11900,20171,8453
2794,220,8,6035.9755859375,0,717.72442626953125,2559,8505,4916
2795,220,8,5129.64306640625,0,829.89642333984375,22937,31453,7461
2796,220,8,7460.7041015625,0,398.3788757324219,40017,27371,9849
2797,220,8,5433.38720703125,0,706.24664306640625,11844,14253,9988
2798,220,8,6892.345703125,0,609.3017578125,1514,6988,2557
2799,220,8,8417.021484375,255.42628479003906,247.93368530273438,26193,30562,7865
2800,220,8,4650.3251953125,0,817.25030517578125,3410,10730,5740
2801,220,8,5584.04345703125,0,712.64202880859375,16925,26193,6528
2802,220,8,6845.98681640625,21.618762969970703,462.0614929199219,2516,8290,4819
2803,220,8,7806.41796875,4.711347579956055,437.8301086425781,28002,29670,8490
2804,220,8,8512.177734375,79.70523834228516,342.17510986328125,26949,23096,9518
2805,220,8,5032.09814453125,0,729.75128173828125,12985,15715,4113
2806,220,8,5767.57080078125,0,733.833251953125,2178,6268,8791
2807,220,8,6443.00830078125,0,594.5318603515625,22292,19327,8586
2808,220,8,7879.2412109375,23.81861686706543,348.0375061035156,6365,12054,8335
2809,220,8,5675.44970703125,7.845398902893066,744.672119140625,2461,7376,6307
2810,220,8,5266.57763671875,0,739.84600830078125,13877,19473,7581
2811,230,0,3071.63916015625,0,1154.56103515625,9214,12609,9930
2812,230,0,1634.8289794921875,0,1365.99951171875,6517,20230,1711
2813,230,1,5735.82373046875,0,619.0205078125,2736,9049,3780
2814,230,1,6891.5390625,0,407.84857177734375,20787,20022,8267
2815,230,1,4971.763671875,0,668.68719482421875,21521,18793,8106
